"summons_key";"summons_date";"offense_description";"age_group";"sex";"race";"jurisdiction_code";"boro";"precinct_of_occur";"x_coordinate_cd";"y_coordinate_cd";"latitude";"longitude";"law_section_number";"law_description";"summons_category_type";"year"
151362579;"2016-03-15 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE HISPANIC";"0";"BROOKLYN";66;991548;172333;"40.63969607800004";"-73.97370533499998";"10-125";"Administrative Code";"ALCOHOL";2016
151491927;"2016-03-22 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";104;1014582;191204;"40.69144382300004";"-73.89062452999997";"221.05";"Penal Law";"MARIJUANA";2016
151491933;"2016-03-22 00:00:00";"KEY IN IGNITION";"25-44";"M";"BLACK";"0";"BROOKLYN";77;1001066;185066;"40.67463241300004";"-73.93937839699998";"10-111";"Administrative Code";"KEY";2016
151491395;"2016-03-22 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"F";"BLACK";"0";"MANHATTAN";17;990314;212017;"40.74862039800007";"-73.978115958";"10-125";"Administrative Code";"ALCOHOL";2016
151491958;"2016-03-22 00:00:00";"NOISE (UNREASONABLE)";"25-44";"M";"BLACK";"1";"BRONX";40;1007034;236608;"40.81608887400005";"-73.917688689";"24-218";"Administrative Code";"NOISE";2016
151491964;"2016-03-22 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE";"0";"STATEN ISLAND";120;962426;168210;"40.62835543600005";"-74.07862418499997";"10-125";"Administrative Code";"ALCOHOL";2016
151491963;"2016-03-22 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"BLACK";"0";"STATEN ISLAND";120;960559;173021;"40.641555809000074";"-74.08536709099997";"221.05";"Penal Law";"MARIJUANA";2016
151491930;"2016-03-22 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"BLACK";"0";"BROOKLYN";77;998975;186438;"40.67840196800007";"-73.94691362299993";"10-125";"Administrative Code";"ALCOHOL";2016
151521865;"2016-03-22 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"M";"BLACK";"0";"STATEN ISLAND";120;960238;173392;"40.64257326000006";"-74.08652506899993";"1-03";"Park Regs";"PARK REGS";2016
151802394;"2016-03-29 00:00:00";"IDLING OF VEHICLE";"45-64";"M";"WHITE";"0";"BROOKLYN";73;1005713;182792;"40.66838074700007";"-73.92263283299998";"24-163";"Administrative Code";"TLC";2016
151691580;"2016-03-29 00:00:00";"MARIJUANA, POSSESSION OF";"45-64";"M";"BLACK";"0";"STATEN ISLAND";121;939346;168921;"40.63022005100004";"-74.16177636099997";"221.05";"Penal Law";"MARIJUANA";2016
151724799;"2016-03-29 00:00:00";"TRESPASS";"18-24";"M";"BLACK";"0";"BRONX";41;1011103;234199;"40.80946541200007";"-73.90299808099996";"140.05";"Penal Law";"TRESPASS";2016
151724886;"2016-03-29 00:00:00";"OTHER ADMIN CODE";"25-44";"F";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";103;1036823;195116;"40.70207716300007";"-73.81039335099996";"9999";"Administrative Code";"OTHER ADMIN CODE";2016
151724941;"2016-03-29 00:00:00";"OTHER ABC";"45-64";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";103;1035648;195276;"40.702523228000075";"-73.81462983499993";"9999";"ABC";"OTHER ABC";2016
151895836;"2016-04-05 00:00:00";"OTHER PENAL LAW";"18-24";"F";"BLACK";"1";"MANHATTAN";28;998181;231480;"40.80203233000003";"-73.94968294499995";"9999";"Penal Law";"OTHER PENAL LAW";2016
151896409;"2016-04-05 00:00:00";"SOUND REPRODUCTION DEVICE-NO PERMIT";"45-64";"M";"WHITE HISPANIC";"0";"BROOKLYN";73;1008792;188308;"40.683512920000055";"-73.91151374999998";"10-108-2";"Administrative Code";"NOISE";2016
151896422;"2016-04-05 00:00:00";"OTHER TRANSIT REG";"18-24";"M";"WHITE HISPANIC";"1";"MANHATTAN";13;984338;208351;"40.73856022100006";"-73.99968389599996";"9999";"Transit Regs";"OTHER TRANSIT REG";2016
152141540;"2016-04-12 00:00:00";"PANHANDLING";"25-44";"M";"BLACK";"0";"BROOKLYN";77;997290;186557;"40.67873123800007";"-73.95298829699995";"10-136";"Administrative Code";"PANHANDLING";2016
152104286;"2016-04-12 00:00:00";"LITTERING";"45-64";"F";"WHITE";"0";"BRONX";47;1026387;262634;"40.88745131300004";"-73.84760778699997";"16-118";"Administrative Code";"LITTERING";2016
152175420;"2016-04-12 00:00:00";"URINATING IN PUBLIC";"45-64";"M";"BLACK";"0";"BROOKLYN";79;1000754;192580;"40.69525721300005";"-73.94048477899997";"16-1186";"Administrative Code";"URINATING";2016
152104679;"2016-04-12 00:00:00";"NO CHAUFFEURS LICENSE (CLASS E)";"45-64";"M";"BLACK";"0";"BRONX";48;1016443;250401;"40.85391737200007";"-73.88363021699998";"19-505A";"Administrative Code";"TLC";2016
152104512;"2016-04-12 00:00:00";"OTHER TRANSIT REG";"25-44";"M";"BLACK";"1";"MANHATTAN";26;997374;234664;"40.81077276700007";"-73.95259158999993";"9999";"Transit Regs";"OTHER TRANSIT REG";2016
152104167;"2016-04-12 00:00:00";"LOITERING (SCHOOL)";"45-64";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";109;1034275;216274;"40.760165345000075";"-73.81942555999996";"240.35(5)";"Penal Law";"LOITERING";2016
152141538;"2016-04-12 00:00:00";"OTHER VTL";"65+";"M";"BLACK";"0";"BROOKLYN";77;1002814;186161;"40.67763444800004";"-73.93307370299993";"9999";"VTL";"VTL";2016
152356439;"2016-04-19 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE";"0";"BROOKLYN";77;994988;183919;"40.671493613000045";"-73.96129190599999";"10-125";"Administrative Code";"ALCOHOL";2016
152466172;"2016-04-19 00:00:00";"TRESPASS";"65+";"M";"BLACK";"0";"QUEENS";113;1052539;186842;"40.679259700000046";"-73.75379666499998";"140.05";"Penal Law";"TRESPASS";2016
152355972;"2016-04-19 00:00:00";"DISORDERLY CONDUCT";"45-64";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";109;1031348;215944;"40.75927565800004";"-73.82999347399993";"240.20";"Penal Law";"DISORDERLY CONDUCT";2016
152390253;"2016-04-19 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE";"0";"STATEN ISLAND";120;960027;171660;"40.63781871700007";"-74.08727915699995";"10-125";"Administrative Code";"ALCOHOL";2016
152355807;"2016-04-19 00:00:00";"NOISE (UNREASONABLE)";"25-44";"M";"BLACK";"2";"MANHATTAN";24;993964;229442;"40.796444217000044";"-73.96491761499993";"24-218";"Administrative Code";"NOISE";2016
152356467;"2016-04-19 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";76;979561;186335;"40.678130259000056";"-74.01690655599998";"221.05";"Penal Law";"MARIJUANA";2016
152356466;"2016-04-19 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";76;979561;186335;"40.678130259000056";"-74.01690655599998";"10-125";"Administrative Code";"ALCOHOL";2016
152356451;"2016-04-19 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"F";"BLACK";"0";"BROOKLYN";79;1001063;186966;"40.679847490000036";"-73.93938447299998";"10-125";"Administrative Code";"ALCOHOL";2016
152356473;"2016-04-19 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"AMERICAN INDIAN/ALASKAN NATIVE";"0";"STATEN ISLAND";121;942111;165575;"40.62104957900005";"-74.15179407099998";"10-125";"Administrative Code";"ALCOHOL";2016
152390218;"2016-04-19 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";105;1058473;206393;"40.73287457600002";"-73.73218722699994";"221.05";"Penal Law";"MARIJUANA";2016
152659553;"2016-04-26 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";62;990545;161862;"40.610956145000046";"-73.977329103";"10-125";"Administrative Code";"ALCOHOL";2016
152555468;"2016-04-26 00:00:00";"OTHER ADMIN CODE";"45-64";"M";"ASIAN / PACIFIC ISLANDER";"0";"BROOKLYN";66;985680;170901;"40.635768434000056";"-73.99484917799998";"9999";"Administrative Code";"OTHER ADMIN CODE";2016
152555428;"2016-04-26 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE";"0";"QUEENS";112;1027388;206359;"40.73298748100007";"-73.84434919099994";"10-125";"Administrative Code";"ALCOHOL";2016
152731177;"2016-04-26 00:00:00";"OTHER TRANSIT REG";"45-64";"M";"BLACK";"1";"MANHATTAN";6;985126;207917;"40.73736895500008";"-73.99684042399997";"9999";"Transit Regs";"OTHER TRANSIT REG";2016
152804511;"2016-04-26 00:00:00";"TRESPASS";"45-64";"M";"BLACK";"0";"BROOKLYN";73;1008494;179021;"40.65802301100007";"-73.91262160699995";"140.05";"Penal Law";"TRESPASS";2016
152555434;"2016-04-26 00:00:00";"OTHER ABC";"25-44";"M";"BLACK HISPANIC";"0";"QUEENS";104;1011906;195291;"40.70267044900004";"-73.90025737199994";"9999";"ABC";"OTHER ABC";2016
152554861;"2016-04-26 00:00:00";"UNREGISTERED VEHICLE";"45-64";"M";"ASIAN / PACIFIC ISLANDER";"0";"BROOKLYN";66;982861;171143;"40.63643267800006";"-74.00500603199998";"401";"VTL";"VTL";2016
152555426;"2016-04-26 00:00:00";"URINATING IN PUBLIC";"25-44";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";109;1031899;217928;"40.764718266000045";"-73.82799049099998";"16-1186";"Administrative Code";"URINATING";2016
152769271;"2016-05-03 00:00:00";"NOISE (UNREASONABLE)";"25-44";"M";"BLACK";"0";"STATEN ISLAND";120;951319;171306;"40.63681896700007";"-74.11865312699997";"24-218";"Administrative Code";"NOISE";2016
164546810;"2016-05-03 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"F";"WHITE HISPANIC";"0";"QUEENS";102;1028758;195326;"40.70269780300004";"-73.83947886299995";"1-03";"Park Regs";"PARK REGS";2016
152768809;"2016-05-03 00:00:00";"VENDOR: UNLICENSED";"45-64";"M";"WHITE HISPANIC";"0";"BRONX";40;1007539;236331;"40.81532727000007";"-73.91586521599999";"20-453";"Administrative Code";"VENDING";2016
152769206;"2016-05-03 00:00:00";"DISORDERLY CONDUCT";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";109;1031321;216580;"40.76102145600004";"-73.83008648199996";"240.20";"Penal Law";"DISORDERLY CONDUCT";2016
152769272;"2016-05-03 00:00:00";"KEY IN IGNITION";"25-44";"M";"BLACK";"0";"STATEN ISLAND";120;961472;164727;"40.61879293100003";"-74.08204929199997";"10-111";"Administrative Code";"KEY";2016
152768952;"2016-05-03 00:00:00";"DISCON: FIGHTING";"18-24";"M";"WHITE";"0";"BROOKLYN";90;1002997;199479;"40.71418887500005";"-73.93237687899993";"240.20-1";"Penal Law";"DISORDERLY CONDUCT";2016
152768645;"2016-05-03 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";109;1032289;220090;"40.77065027500004";"-73.82656715899996";"1-03";"Park Regs";"PARK REGS";2016
152768808;"2016-05-03 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE HISPANIC";"0";"BRONX";40;1007539;236331;"40.81532727000007";"-73.91586521599999";"10-125";"Administrative Code";"ALCOHOL";2016
152769273;"2016-05-03 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"STATEN ISLAND";120;962499;172473;"40.64005664300004";"-74.07837493799997";"10-125";"Administrative Code";"ALCOHOL";2016
152804462;"2016-05-03 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";112;1025138;207449;"40.73598994600008";"-73.85246109099995";"221.05";"Penal Law";"MARIJUANA";2016
152769209;"2016-05-03 00:00:00";"OTHER PENAL LAW";"25-44";"M";"WHITE";"0";"BROOKLYN";81;1001889;193443;"40.69762375700003";"-73.93638948699999";"9999";"Penal Law";"OTHER PENAL LAW";2016
152979590;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE";"0";"BROOKLYN";90;993498;200269;"40.71637226400002";"-73.966640779";"10-125";"Administrative Code";"ALCOHOL";2016
152979569;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE HISPANIC";"0";"QUEENS";109;1032694;217144;"40.762562072000044";"-73.82512623199995";"10-125";"Administrative Code";"ALCOHOL";2016
153016400;"2016-05-10 00:00:00";"UNLICENSED VEHICLE FOR HIRE";"25-44";"M";"BLACK";"0";"QUEENS";103;1039179;195085;"40.70197776500004";"-73.80189655799995";"19-506";"Administrative Code";"TLC";2016
153016321;"2016-05-10 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"M";"BLACK";"0";"BRONX";52;1011662;254974;"40.866485013000045";"-73.90089385499994";"221.05";"Penal Law";"MARIJUANA";2016
152979570;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"QUEENS";104;1014582;191204;"40.69144382300004";"-73.89062452999997";"10-125";"Administrative Code";"ALCOHOL";2016
153016382;"2016-05-10 00:00:00";"URINATING IN PUBLIC";"45-64";"M";"WHITE";"0";"BROOKLYN";79;996965;192122;"40.69400636300003";"-73.95414951899994";"153.09";"Health Code";"URINATING";2016
152979608;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"BLACK";"0";"BROOKLYN";73;1009815;186345;"40.678122037000044";"-73.90783270999998";"10-125";"Administrative Code";"ALCOHOL";2016
153016485;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"BLACK";"0";"STATEN ISLAND";120;963248;173175;"40.641985291000026";"-74.07567831799997";"10-125";"Administrative Code";"ALCOHOL";2016
153016434;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";62;981265;158935;"40.602923859000036";"-74.01075104899996";"10-125";"Administrative Code";"ALCOHOL";2016
152979653;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"F";"BLACK HISPANIC";"0";"BROOKLYN";71;1003254;181484;"40.66479619800003";"-73.93150058099997";"10-125";"Administrative Code";"ALCOHOL";2016
153016521;"2016-05-10 00:00:00";"FAILURE TO COMPLY WITH SIGN";"<18";"F";"WHITE";"0";"MANHATTAN";26;996241;236149;"40.81485028900005";"-73.95668184799997";"1-03";"Park Regs";"PARK REGS";2016
155706683;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"BLACK";"0";"QUEENS";103;1041172;197409;"40.708343986000045";"-73.79468905999995";"10-125";"Administrative Code";"ALCOHOL";2016
153016519;"2016-05-10 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"M";"WHITE";"0";"MANHATTAN";26;997852;235911;"40.81419471200008";"-73.95086230899994";"1-03";"Park Regs";"PARK REGS";2016
152979668;"2016-05-10 00:00:00";"URINATING IN PUBLIC";"45-64";"M";"BLACK";"0";"BROOKLYN";76;982111;185061;"40.67463440000005";"-74.007712713";"16-1186";"Administrative Code";"URINATING";2016
153016390;"2016-05-10 00:00:00";"TRESPASS";"18-24";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";103;1042506;197832;"40.70949633600002";"-73.78987380399997";"140.05";"Penal Law";"TRESPASS";2016
153016415;"2016-05-10 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"BLACK";"0";"QUEENS";105;1057522;192147;"40.69378080300004";"-73.73577368899998";"221.05";"Penal Law";"MARIJUANA";2016
152979104;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"QUEENS";109;1032641;217298;"40.762985051000044";"-73.82531644399995";"10-125";"Administrative Code";"ALCOHOL";2016
152979604;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"BLACK";"0";"BROOKLYN";73;1005713;182792;"40.66838074700007";"-73.92263283299998";"10-125";"Administrative Code";"ALCOHOL";2016
153016441;"2016-05-10 00:00:00";"FAILURE TO COMPLY WITH SIGN";"18-24";"M";"WHITE HISPANIC";"0";"BROOKLYN";62;981265;158935;"40.602923859000036";"-74.01075104899996";"1-03";"Park Regs";"PARK REGS";2016
152979581;"2016-05-10 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";104;1011796;193499;"40.697752173000026";"-73.900661427";"221.05";"Penal Law";"MARIJUANA";2016
152979595;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"65+";"M";"WHITE HISPANIC";"0";"BROOKLYN";73;1010150;185653;"40.676221680000026";"-73.90662760499998";"10-125";"Administrative Code";"ALCOHOL";2016
153016380;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"BLACK";"0";"BROOKLYN";81;1002167;193602;"40.69805961700007";"-73.93538650699998";"10-125";"Administrative Code";"ALCOHOL";2016
153016435;"2016-05-10 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";62;981265;158935;"40.602923859000036";"-74.01075104899996";"10-125";"Administrative Code";"ALCOHOL";2016
152979682;"2016-05-10 00:00:00";"NON PAYMENT OF FARE (BUS)";"18-24";"F";"WHITE";"0";"STATEN ISLAND";120;960749;163424;"40.615214578000064";"-74.08464904799997";"1050.4";"Transit Regs";"TRANSIT REGS";2016
152979679;"2016-05-10 00:00:00";"KEY IN IGNITION";"45-64";"M";"BLACK";"0";"STATEN ISLAND";120;961049;165071;"40.619736041000074";"-74.083574147";"10-111";"Administrative Code";"KEY";2016
152979543;"2016-05-10 00:00:00";"DISCON: OBSTRUCT VEHICLE";"25-44";"M";"BLACK HISPANIC";"0";"BRONX";52;1018637;260190;"40.88077690400007";"-73.87564912499995";"240.205B";"Penal Law";"DISORDERLY CONDUCT";2016
153241919;"2016-05-17 00:00:00";"OTHER VTL";"45-64";"M";"BLACK";"0";"QUEENS";102;1032956;194827;"40.70130605700007";"-73.82434200099993";"9999";"VTL";"VTL";2016
153204832;"2016-05-17 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";111;1045030;220723;"40.77230927000005";"-73.78056301499998";"221.05";"Penal Law";"MARIJUANA";2016
153412186;"2016-05-17 00:00:00";"NOISE (UNREASONABLE)";"18-24";"M";"BLACK";"0";"QUEENS";113;1052269;194402;"40.700012162000064";"-73.75469377199995";"24-218";"Administrative Code";"NOISE";2016
153241901;"2016-05-17 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"BLACK";"0";"BROOKLYN";88;990255;189887;"40.68787889800007";"-73.97834863299995";"221.05";"Penal Law";"MARIJUANA";2016
153204824;"2016-05-17 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"BLACK HISPANIC";"0";"BRONX";46;1010969;248351;"40.84830899400004";"-73.90342577999998";"221.05";"Penal Law";"MARIJUANA";2016
153241930;"2016-05-17 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"BLACK";"0";"QUEENS";105;1058257;194013;"40.69889640100007";"-73.73310270499996";"221.05";"Penal Law";"MARIJUANA";2016
153241928;"2016-05-17 00:00:00";"MARIJUANA, POSSESSION OF";"25-44";"M";"BLACK";"0";"QUEENS";105;1057459;185133;"40.67452957800003";"-73.73607707999997";"221.05";"Penal Law";"MARIJUANA";2016
153204884;"2016-05-17 00:00:00";"MARIJUANA, POSSESSION OF";"18-24";"M";"WHITE HISPANIC";"0";"BROOKLYN";61;992555;156900;"40.59733480700004";"-73.97009590199998";"221.05";"Penal Law";"MARIJUANA";2016
153476266;"2016-05-24 00:00:00";"DISCON: UNREASONABLE NOISE";"25-44";"M";"BLACK";"0";"BROOKLYN";71;998342;182969;"40.668881372000044";"-73.94920301999997";"240.20-2";"Penal Law";"DISORDERLY CONDUCT";2016
153447530;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"F";"WHITE";"0";"MANHATTAN";19;995229;216822;"40.761804167000044";"-73.96036946299995";"10-125";"Administrative Code";"ALCOHOL";2016
153447460;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"BROOKLYN";66;992046;171071;"40.636231733000045";"-73.97191240299998";"10-125";"Administrative Code";"ALCOHOL";2016
153412224;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"BLACK";"0";"BROOKLYN";76;982111;185061;"40.67463440000005";"-74.007712713";"10-125";"Administrative Code";"ALCOHOL";2016
153412118;"2016-05-24 00:00:00";"OTHER VTL";"45-64";"M";"WHITE HISPANIC";"0";"BRONX";48;1012721;249689;"40.85197593100002";"-73.89708750999995";"9999";"VTL";"VTL";2016
153564774;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"BLACK";"0";"BROOKLYN";79;1002167;193602;"40.69805961700007";"-73.93538650699998";"10-125";"Administrative Code";"ALCOHOL";2016
153412120;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"BRONX";48;1013201;247704;"40.84652613500003";"-73.89536102899994";"10-125";"Administrative Code";"ALCOHOL";2016
153412209;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE HISPANIC";"0";"BROOKLYN";72;985178;180433;"40.66193177900004";"-73.99665656499997";"10-125";"Administrative Code";"ALCOHOL";2016
153412132;"2016-05-24 00:00:00";"KNIFE, ANY IN PUBLIC VIEW";"18-24";"M";"ASIAN / PACIFIC ISLANDER";"0";"QUEENS";109;1033459;212522;"40.74987165800008";"-73.82239853699997";"10-133C";"Administrative Code";"KNIFE";2016
153447427;"2016-05-24 00:00:00";"CONSUMPTION OF ALCOHOL";"18-24";"M";"WHITE HISPANIC";"0";"QUEENS";102;1025149;189117;"40.68567297300007";"-73.85253275699995";"10-125";"Administrative Code";"ALCOHOL";2016
153605206;"2016-05-31 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE";"0";"STATEN ISLAND";120;962978;171451;"40.63725263600002";"-74.07664577799993";"10-125";"Administrative Code";"ALCOHOL";2016
153605187;"2016-05-31 00:00:00";"CONSUMPTION OF ALCOHOL";"18-24";"F";"WHITE HISPANIC";"0";"BROOKLYN";72;982967;175044;"40.64714010400007";"-74.00462485599996";"10-125";"Administrative Code";"ALCOHOL";2016
153605202;"2016-05-31 00:00:00";"VENDOR: UNLICENSED";"25-44";"M";"BLACK";"0";"BROOKLYN";60;989514;148693;"40.57481054900006";"-73.98105265299995";"20-453";"Administrative Code";"VENDING";2016
153605264;"2016-05-31 00:00:00";"CONSUMPTION OF ALCOHOL";"45-64";"M";"WHITE";"0";"BROOKLYN";60;990922;149184;"40.576157300000034";"-73.97598379999994";"10-125";"Administrative Code";"ALCOHOL";2016
153604710;"2016-05-31 00:00:00";"DISCON: OBSTRUCT PEDESTRIAN";"45-64";"M";"BLACK";"2";"BROOKLYN";75;1013136;184082;"40.67190040100007";"-73.89586931699995";"240.205A";"Penal Law";"DISORDERLY CONDUCT";2016
153564934;"2016-05-31 00:00:00";"CONSUMPTION OF ALCOHOL";"25-44";"M";"WHITE HISPANIC";"0";"MANHATTAN";34;1001534;248877;"40.849776217000056";"-73.93752716499995";"10-125";"Administrative Code";"ALCOHOL";2016
